COURSE,E25_LEARNING,E25_MOTIVATION,E25_FEEDBACK,E25_WORKLOAD
12361,"[0, 0, 1, 2, 11]","[0, 0, 3, 1, 10]","[0, 0, 0, 2, 12]","[0, 2, 10, 2, 0]"
12362,"[0, 0, 2, 10, 11]","[0, 1, 4, 11, 7]","[0, 2, 0, 6, 15]","[0, 3, 12, 7, 0]"
12363,,,,
12410,"[0, 0, 0, 5, 14]","[0, 0, 3, 1, 15]","[0, 2, 6, 4, 7]","[0, 1, 13, 3, 2]"
12411,,,,
12412,"[0, 3, 1, 7, 9]","[0, 3, 3, 4, 10]","[0, 2, 7, 5, 6]","[0, 4, 13, 2, 1]"
12415,,,,
12421,"[0, 1, 2, 4, 4]","[1, 1, 4, 3, 2]","[0, 1, 2, 4, 4]","[0, 0, 4, 4, 3]"
12422,,,,
12423,"[0, 0, 1, 0, 1]","[0, 1, 0, 0, 1]","[0, 0, 1, 1, 0]","[0, 0, 2, 0, 0]"
12430,"[0, 0, 1, 2, 3]","[0, 0, 1, 2, 3]","[0, 0, 0, 1, 5]","[0, 0, 4, 1, 0]"
12431,"[0, 2, 3, 6, 2]","[0, 2, 6, 4, 1]","[2, 4, 3, 2, 2]","[1, 2, 10, 0, 0]"
12451,"[0, 0, 0, 1, 8]","[0, 0, 0, 5, 4]","[1, 1, 0, 1, 6]","[0, 0, 0, 5, 4]"
12452,,,,
12551,,,,
12552,"[1, 7, 8, 16, 8]","[6, 7, 7, 15, 5]","[6, 6, 11, 13, 4]","[1, 1, 23, 10, 5]"
12601,"[0, 3, 5, 13, 16]","[2, 5, 8, 11, 7]","[8, 9, 10, 4, 2]","[1, 5, 16, 9, 2]"
12603,,,,
12604,,,,
12605,"[6, 5, 32, 40, 31]","[14, 18, 24, 38, 18]","[3, 12, 18, 38, 40]","[3, 10, 46, 32, 19]"
12611,"[0, 0, 4, 8, 8]","[2, 4, 4, 7, 2]","[2, 9, 6, 1, 1]","[0, 1, 6, 5, 7]"
12612,,,,
12614,,,,
12615,,,,
12616,"[0, 3, 4, 7, 2]","[1, 4, 6, 3, 2]","[0, 1, 3, 8, 4]","[0, 1, 14, 1, 0]"
12701,"[0, 3, 14, 12, 10]","[0, 2, 15, 11, 10]","[0, 3, 12, 15, 8]","[2, 4, 23, 6, 3]"
12772,"[2, 4, 8, 27, 64]","[5, 12, 13, 31, 43]","[0, 4, 6, 34, 60]","[1, 1, 21, 32, 49]"
12773,,,,
12775,,,,
12821,"[0, 0, 0, 6, 4]","[0, 1, 0, 7, 1]","[0, 1, 3, 2, 3]","[0, 2, 4, 3, 0]"
12831,"[0, 0, 0, 2, 2]","[0, 0, 1, 1, 2]","[0, 0, 2, 1, 1]","[0, 1, 1, 1, 1]"
12832,"[0, 0, 4, 1, 2]","[0, 1, 1, 3, 2]","[0, 0, 3, 2, 2]","[0, 0, 3, 2, 1]"
12836,,,,
12854,,,,
12856,,,,
12902,,,,
12911,,,,
12919,,,,
